fid,PCD,PCD_Source,X_BNG,Y_BNG,X_IG,Y_IG,X_Latitude,Y_Longitud,Total_Pers,Females,Males,Occupied_H,LSOA_DZ_Co,LSOA_DZ_Na,OA_SA_Code,OAC_Superg,OAC_Supe_1,OAC_Group_,OAC_Goup_N,OAC_Subgro,OAC_Subg_1,WIMD_2014_,EIMD_2015_,EIMD_201_1,EIMD_201_2,SIMD_2016_,NIMDM_2017,LSOA_DZ_To,LSOA_DZ__1,OA_SA_Town,OA_SA_To_1,field_32,field_33,field_34,utd-pop,icon_url
5481,BR1 2SY,ONS,542034,169870,0,0,0.040853790000000,51.410069999999997,14,6,8,6,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"15",./0.png
5482,BR1 2SZ,ONS,542193,169850,0,0,0.043130400000000,51.409849999999999,7,4,3,5,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"8",./0.png
5483,BR1 2TA,ONS,542165,169911,0,0,0.042752510000000,51.410409999999999,12,6,6,8,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"13",./0.png
5510,BR1 2WF,ONS,542164,169493,0,0,0.042570740000000,51.406649999999999,23,12,11,7,E01000645,Bromley 007A,E00003133,"6",Suburbanites,6a,Suburban Achievers,6a1,Indian Tech Achievers,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-4.069057735000001,1.000000000000000,,,,"25",./0.png
5518,BR1 2WZ,ONS,542288,169637,0,0,0.044410040000000,51.407910000000001,20,9,11,5,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"22",./0.png
10401,BR7 5LH,ONS,542398,169785,0,0,0.046049900000000,51.409219999999998,1,0,1,1,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"1",./0.png
10402,BR7 5LL,ONS,542385,169705,0,0,0.045831020000000,51.408499999999997,23,10,13,7,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"25",./0.png
10403,BR7 5LN,ONS,542254,169931,0,0,0.044039350000000,51.410559999999997,60,31,29,22,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"66",./4.png
10404,BR7 5LP,ONS,542349,169823,0,0,0.045361080000000,51.409570000000002,8,4,4,3,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"9",./0.png
10406,BR7 5LR,ONS,542409,170047,0,0,0.046313070000000,51.411569999999998,26,13,13,13,E01000645,Bromley 007A,E00003128,"6",Suburbanites,6a,Suburban Achievers,6a1,Indian Tech Achievers,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.925900802000000,1.000000000000000,,,,"28",./0.png
